64, 2.17e-03, 2.63e-03, 5.76e-01
121, 2.17e-03, 5.56e-03, 5.76e-01
256, 4.38e-04, 1.29e-02, 5.76e-01
484, 2.26e-03, 2.57e-02, 5.89e-01
1024, 2.66e-03, 5.68e-02, 6.29e-01
2025, 1.87e-02, 1.16e-01, 7.25e-01
4096, 1.95e-02, 2.38e-01, 9.66e-01
8100, 1.29e-01, 4.78e-01, 1.38e+00
16384, 1.77e-01, 9.77e-01, 2.04e+00
32761, 2.34e-01, 1.97e+00, 3.16e+00
65536, 6.85e-01, 3.95e+00, 5.71e+00
92416, 1.06e+00, 5.59e+00, 7.85e+00
131044, 1.77e+00, 7.93e+00, 1.09e+01
184900, 2.40e+00, 1.12e+01, 1.52e+01
262144, 5.14e+00, 1.59e+01, 2.14e+01
369664, 7.86e+00, 2.25e+01, 3.00e+01
524176, 1.15e+01, 3.19e+01, 4.23e+01
741321, 1.86e+01, 4.51e+01, 5.97e+01 
1048576, 3.79e+01, 6.38e+01, 8.42e+01
1481089, 6.26e+01, 9.02e+01, 1.19e+02
2096704, 1.59e+02, 1.28e+02, 1.68e+02
2965284, 2.17e+02, 1.81e+02, 2.37e+02
4194304, 4.71e+02, 2.56e+02, 3.36e+02
5929225, 7.99e+02, 3.61e+02, 4.74e+02
8386816, 2.26e+03, 5.11e+02, 6.71e+02